סמל ועדה,שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ב,ג,ודעם,ז,זץ,ט,י,יז,ינ,יף,יק,יר,כ,כך,כן,ל,מחל,מרצ,נ,ני,נר,עם,פה,ףז,צי,צכ,צף,ץ,ק,קי,קך,קץ,ר,רנ,רף,רק,שס,ת,
12,מבוא מודיעים,1141,177,95,0,95,6,18,10,0,0,0,20,0,2,0,0,0,0,0,0,1,1,10,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,7,7,
2,מגדל עוז,3561,267,167,2,165,1,81,0,0,0,0,42,0,1,0,0,0,0,0,0,2,0,24,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,
13,מחנה הילה,1411,126,102,0,102,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,11,7,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,
5,מחנה יהודית,1413,132,105,1,104,7,14,0,0,0,0,1,0,1,0,0,0,0,0,0,12,6,22,8,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
18,מחנה יפה,1415,230,148,0,148,18,15,0,0,0,0,5,0,2,0,0,0,0,0,0,16,2,32,5,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,
17,מחנה מרים,1414,107,68,0,68,11,8,0,0,0,0,3,0,0,0,0,0,0,0,0,16,1,8,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
2,מחסיה,776,314,245,0,245,3,16,4,0,0,1,26,0,2,0,0,0,0,0,0,10,3,112,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10,
9,מי עמי,1128,256,187,1,186,54,2,0,1,0,0,0,0,0,0,0,0,0,0,0,26,6,7,33,0,0,0,0,46,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,
4,מיצר,4019,118,90,0,90,24,10,0,0,0,0,1,0,2,0,0,0,0,0,0,6,5,0,10,0,0,0,0,17,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,
18,מלילות,2044,281,207,2,205,2,8,2,0,0,0,21,0,1,0,0,0,0,0,0,1,2,139,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,
4,מעגן,678,321,211,3,208,35,8,0,0,0,0,2,0,0,0,0,0,0,0,0,43,7,28,19,0,0,0,1,54,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9,
18,מעון,3657,300,206,0,206,0,29,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,
4,מצפה,58,118,85,0,85,9,4,0,0,0,0,1,0,1,0,0,0,0,0,0,11,3,21,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,
16,מקווה ישראל,22,160,115,0,115,14,8,0,0,0,0,3,0,1,0,0,0,0,0,0,8,8,26,9,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,
2,נגוהות,3724,158,139,0,139,0,35,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,
2,נווה שלום,1259,230,178,0,178,15,0,0,90,0,0,0,0,0,0,0,0,0,0,0,2,0,0,63,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
17,נועם,15,322,217,0,217,2,15,1,0,0,0,23,0,0,0,0,0,0,0,0,1,1,124,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,
5,נורית,833,127,101,0,101,7,9,2,1,0,0,7,0,1,0,0,0,0,0,0,9,1,28,7,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,
17,נטע,1369,279,246,0,246,1,79,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,
13,נצר חזני,1372,272,228,0,228,1,58,9,0,0,0,98,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,
6,סואעד חמרייה,942,166,53,2,51,3,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,1,3,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,עגור,794,316,233,1,232,6,6,2,0,0,0,14,0,1,0,0,0,0,0,0,5,4,145,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,30,4,
2,עטרת,3658,311,256,0,256,0,36,1,1,0,0,187,0,0,0,0,0,0,0,0,1,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,
13,עיינות,156,129,42,1,41,5,6,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,9,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,
9,עין חוד,1320,198,98,2,96,1,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,פדויים,750,337,239,1,238,5,28,6,0,0,0,27,0,5,0,0,0,0,0,0,8,4,108,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,19,14,
4,פוריה  כפר עבודה,1104,267,168,1,167,1,19,2,0,0,0,3,0,2,0,0,1,0,0,0,7,0,88,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,5,0,0,0,12,13,
2,פני חבר,3723,249,198,2,196,1,11,1,0,0,0,153,0,0,0,0,0,0,0,0,2,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,
6,פקיעין חדשה,281,336,256,0,256,2,7,2,0,0,0,15,0,2,0,0,0,0,0,0,5,3,140,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,70,4,
6,צוריאל,774,305,216,0,216,10,18,0,0,0,1,16,0,2,0,0,0,0,0,0,15,2,119,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,9,16,
17,קוממיות,766,252,155,0,155,0,0,146,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,
18,רתמים,1260,264,224,0,224,15,110,1,0,0,0,35,0,2,0,0,0,0,0,0,22,0,20,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,
2,שדות מיכה,27,270,184,1,183,2,13,2,0,0,0,11,0,0,0,0,0,0,0,0,7,3,83,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,48,9,
17,שדרות,1031,21394,12793,92,12701,254,1711,98,16,1,0,1342,5,66,0,0,6,2,1,5,392,964,5227,132,7,1,0,7,543,3,1,0,0,1,0,0,1,2,60,3,2,0,1425,423,
18,שוקדה,415,285,216,1,215,1,58,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,7,
18,שיבולים,865,260,190,0,190,2,14,2,0,0,0,31,0,0,0,0,0,0,0,0,8,1,109,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12,9,
17,שקף,1233,301,252,0,252,48,20,0,0,0,1,3,0,1,0,0,0,0,0,0,61,5,29,31,0,0,0,0,34,0,0,0,0,0,0,0,0,0,1,0,0,0,1,17,
18,שרשרת,398,264,188,0,188,2,17,5,0,0,0,29,0,3,0,0,0,0,0,0,1,0,97,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,
18,תאשור,2062,288,191,0,191,22,20,0,1,0,0,2,0,8,0,0,0,0,0,0,21,2,54,14,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,
18,תושיה,1083,337,258,0,258,1,43,2,0,0,0,137,0,1,0,0,0,0,0,0,1,0,60,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,
2,תירוש,10,332,227,0,227,0,4,7,0,0,0,12,0,4,0,0,0,0,0,0,0,0,106,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85,7,
4,תל קציר,719,326,228,2,226,56,11,0,0,0,0,3,0,0,0,0,0,0,0,0,30,7,20,12,0,0,0,0,64,1,0,0,0,0,0,0,0,0,1,0,0,0,1,20,
9,תלמי אלעזר,2003,688,525,0,525,86,23,0,0,0,1,5,0,8,0,0,0,0,0,0,70,19,82,45,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,
2,אדורה,3759,244,183,0,183,1,37,0,0,0,0,66,0,3,0,0,0,0,0,0,4,2,41,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,1,0,0,3,9,
18,אופקים,31,22735,13859,102,13757,159,691,2260,6,1,0,827,2,66,1,0,1,0,1,3,297,831,4481,69,2,0,1,12,494,2,1,0,0,0,3,0,3,1,40,1,0,0,3149,352,
3,אור הגנוז,1294,296,162,1,161,0,5,72,0,0,0,29,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,50,0,
5,אחוזת ברק,1330,1809,1280,8,1272,86,118,0,0,0,0,17,0,13,0,0,0,0,0,0,110,50,395,31,0,0,0,0,311,0,0,0,0,0,0,0,0,0,8,4,0,0,25,104,
18,אילת,2600,51155,21139,116,21023,838,1108,97,90,4,5,706,7,278,1,1,11,1,0,9,1267,1560,8866,445,3,4,3,20,2839,3,3,2,1,2,1,4,2,6,153,11,2,0,1087,1583,
17,איתן,37,366,270,0,270,2,27,0,0,0,0,61,0,0,0,0,0,0,0,0,4,1,126,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,42,3,
5,אכסאל,478,9946,4256,37,4219,4,0,1,2530,1,0,1,1,9,5,0,0,0,0,1,6,1,203,63,0,0,0,1340,18,0,2,0,0,0,0,1,2,0,1,1,2,0,2,24,
18,אליפז,1248,117,69,0,69,12,4,0,0,0,0,0,0,0,0,0,0,0,1,0,11,1,6,6,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
18,באר מילכה,1278,101,90,1,89,23,5,0,0,0,0,2,0,1,0,0,0,0,0,0,20,1,12,15,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
18,באר שבע,9000,163196,92304,647,91657,2963,6526,716,349,3,6,4972,27,736,3,7,14,9,27,42,4405,8847,38604,1400,18,21,9,196,8821,27,15,4,5,8,13,15,15,29,477,30,15,0,7110,5173,
5,בועיינהנוגידאת,482,6773,3527,68,3459,8,0,0,943,1,0,0,0,3,0,0,1,0,2,1,3,0,124,83,0,0,1,2228,17,0,0,3,2,0,0,0,2,2,0,2,0,0,32,1,
12,בית חשמונאי,1050,1503,1138,4,1134,99,73,1,1,0,1,21,0,12,0,0,0,0,0,0,141,15,325,49,0,0,0,0,295,1,1,0,0,0,0,0,0,0,4,0,0,0,12,83,
9,בסמה,1326,6890,2604,58,2546,14,1,0,1374,0,0,0,0,5,3,1,0,0,1,1,3,0,68,158,1,0,1,873,18,0,0,1,0,3,0,0,0,1,0,0,0,0,14,5,
9,גסר אזרקא,541,9184,2246,34,2212,23,1,0,1291,1,1,1,0,0,4,0,0,0,0,5,2,1,121,50,1,1,2,659,17,0,0,0,0,2,1,1,0,2,1,1,1,0,17,5,
17,גבעתי,793,665,457,2,455,7,38,1,0,0,1,20,0,3,0,0,0,0,0,0,49,6,237,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1,0,0,0,36,28,
5,גדיש,145,285,201,0,201,3,6,1,0,0,0,7,0,0,0,0,0,0,0,0,2,1,159,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,
12,גזר,370,388,209,0,209,54,2,0,4,0,0,0,0,2,0,0,0,0,0,0,15,4,21,38,0,0,0,0,63,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,
11,גני תקווה,229,15611,11774,44,11730,983,648,198,13,0,2,361,2,130,0,0,0,0,0,0,1414,341,2280,668,0,1,0,0,3172,2,1,0,1,1,0,1,1,2,35,1,2,0,799,671,
11,גת רימון,128,205,157,0,157,20,8,0,0,0,0,4,0,4,0,0,0,0,0,0,22,6,31,13,0,0,0,0,42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,
5,דבוריה,489,7270,3478,26,3452,3,0,0,1901,0,0,0,0,1,3,1,0,0,0,1,1,2,60,54,0,0,0,1409,10,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,
5,דברת,407,347,253,0,253,56,17,0,0,0,0,1,0,2,0,0,0,0,0,0,36,10,14,13,0,0,0,0,74,0,0,0,0,0,0,0,0,0,2,0,0,0,5,23,
5,דחי,475,529,106,1,105,1,0,0,56,0,0,0,0,0,0,0,0,0,0,0,1,0,16,8,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
18,דימונה,2200,28585,16107,128,15979,249,826,103,10,2,1,861,1,81,0,0,0,2,2,1,418,1074,8766,78,1,2,0,27,995,3,1,0,1,2,3,2,2,3,66,4,3,0,1708,681,
5,חבר,1110,409,287,4,283,14,15,0,0,0,0,5,0,3,0,0,0,0,0,0,24,13,120,4,0,0,0,0,30,1,0,0,0,0,0,0,0,0,3,0,0,0,23,28,
2,חברון,3400,309,201,0,201,2,11,1,0,0,0,163,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,0,0,1,2,
9,חדרה,6500,77744,45929,264,45665,2138,2632,432,66,4,3,1561,16,494,0,0,4,1,9,15,3219,3840,16957,1048,6,23,2,24,6624,7,2,3,5,6,7,5,2,5,244,12,9,0,3474,2766,
19,חורשים,355,298,199,0,199,45,7,0,0,0,0,6,0,7,0,0,0,0,0,0,25,6,22,46,0,0,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
7,חיפה,4000,249870,137706,740,136966,9352,6532,5042,9783,25,13,3607,40,1306,22,8,25,10,18,61,11146,12799,29269,8620,13,21,8,492,26800,41,17,8,8,31,14,12,20,24,678,37,17,0,3585,7462,
4,חמאם,993,1197,408,7,401,8,0,0,100,0,0,0,0,0,0,0,0,0,0,0,6,0,75,10,0,0,3,171,9,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,
5,טורעאן,498,9719,3756,26,3730,29,2,0,1876,0,0,3,1,16,2,1,0,0,0,0,2,8,87,89,0,0,2,1542,23,0,0,2,1,0,0,1,0,1,1,0,0,0,21,20,
18,יהל,1158,218,132,1,131,30,5,0,1,0,0,2,0,0,0,0,0,0,0,0,16,11,13,17,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
18,יטבתה,866,697,435,0,435,184,4,0,1,0,0,2,0,3,0,0,0,0,0,0,42,10,12,61,0,0,0,0,104,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,
17,ינון,2011,927,670,4,666,18,41,9,52,0,0,43,1,12,0,0,0,0,0,1,39,1,346,8,0,0,0,3,23,0,0,0,0,0,0,0,0,0,1,0,0,0,39,29,
3,כדיתה,1338,138,49,1,48,9,4,2,0,0,0,1,0,2,0,0,0,0,0,1,5,0,8,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,2,1,
8,כפר חסידים ב,889,219,159,0,159,6,36,5,0,0,0,13,0,0,0,0,0,0,0,0,12,8,45,4,0,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,
12,לוד,7000,57343,30487,302,30185,514,1860,1173,2712,4,2,2258,6,198,2,4,4,5,6,17,775,2563,10360,329,7,4,3,1383,1980,11,6,1,0,3,8,10,11,11,150,11,4,0,2526,1264,
9,מבוא דותן,3569,301,201,0,201,4,26,0,0,0,0,61,0,1,0,0,0,0,0,0,8,1,76,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,5,7,
4,מגאר,481,16438,7132,78,7054,160,205,4,1878,2,1,4,0,15,2,0,0,2,0,6,184,916,596,305,2,2,1,1751,378,0,1,3,5,2,2,0,0,2,7,0,0,0,298,320,
12,מודיעין עילית,3797,30528,24734,365,24369,7,38,19309,0,0,0,539,0,4,0,0,0,0,0,3,7,2,132,3,2,0,0,0,8,3,0,0,0,1,1,1,0,1,9,0,4,0,4280,15,
18,מחנה יוכבד,1416,125,57,0,57,5,5,0,0,0,0,3,0,1,0,0,0,0,0,0,6,2,13,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
17,מנוחה,2030,446,339,0,339,8,36,0,0,0,0,46,0,2,0,0,0,0,0,0,17,0,170,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,
